AGS;Prozent

1001;20%

1002;18%

1003;23%

1004;23%

1051;25%

1053;22%

1054;24%

1055;27%

1056;22%

1057;26%

1058;23%

1059;24%

1060;22%

1061;23%

1062;23%

2000;18%

3101;21%

3102;23%

3103;22%

3151;20%

3153;27%

3154;23%

3155;25%

3157;21%

3158;23%

3159;22%

3241;21%

3251;22%

3252;25%

3254;23%

3255;26%

3256;22%

3257;24%

3351;23%

3352;25%

3353;22%

3354;28%

3355;20%

3356;23%

3357;21%

3358;22%

3359;21%

3360;25%

3361;22%

3401;22%

3402;21%

3403;19%

3404;19%

3405;26%

3451;23%

3452;23%

3453;16%

3454;19%

3455;26%

3456;20%

3457;21%

3458;21%

3459;20%

3460;16%

3461;23%

3462;24%

4011;21%

4012;22%

5111;19%

5112;20%

5113;22%

5114;22%

5116;21%

5117;24%

5119;22%

5120;22%

5122;21%

5124;21%

5154;20%

5158;24%

5162;22%

5166;22%

5170;23%

5314;18%

5315;17%

5316;22%

5334;20%

5358;21%

5362;21%

5366;21%

5370;21%

5374;21%

5378;23%

5382;21%

5512;22%

5513;21%

5515;17%

5554;19%

5558;20%

5562;22%

5566;20%

5570;21%

5711;20%

5754;19%

5758;22%

5762;22%

5766;22%

5770;22%

5774;18%

5911;22%

5913;20%

5914;22%

5915;21%

5916;22%

5954;24%

5958;22%

5962;22%

5966;20%

5970;21%

5974;21%

5978;23%

6411;17%

6412;16%

6413;17%

6414;20%

6431;22%

6432;21%

6433;19%

6434;23%

6435;21%

6436;21%

6437;23%

6438;21%

6439;23%

6440;21%

6531;19%

6532;22%

6533;21%

6534;19%

6535;24%

6611;20%

6631;21%

6632;24%

6633;25%

6634;23%

6635;23%

6636;25%

7111;22%

7131;24%

7132;22%

7133;23%

7134;24%

7135;24%

7137;22%

7138;22%

7140;22%

7141;23%

7143;21%

7211;18%

7231;22%

7232;20%

7233;24%

7235;20%

7311;23%

7312;20%

7313;19%

7314;19%

7315;18%

7316;24%

7317;25%

7318;22%

7319;20%

7320;23%

7331;20%

7332;24%

7333;21%

7334;20%

7335;21%

7336;24%

7337;23%

7338;22%

7339;20%

7340;25%

8111;18%

8115;20%

8116;20%

8117;21%

8118;20%

8119;21%

8121;20%

8125;19%

8126;19%

8127;19%

8128;22%

8135;22%

8136;20%

8211;26%

8212;18%

8215;21%

8216;21%

8221;16%

8222;18%

8225;21%

8226;21%

8231;20%

8235;21%

8236;21%

8237;20%

8311;16%

8315;21%

8316;21%

8317;21%

8325;21%

8326;22%

8327;19%

8335;21%

8336;20%

8337;21%

8415;20%

8416;17%

8417;22%

8421;18%

8425;19%

8426;18%

8435;22%

8436;20%

8437;20%

9161;18%

9162;18%

9163;20%

9171;22%

9172;24%

9173;21%

9174;18%

9175;19%

9176;17%

9177;17%

9178;16%

9179;22%

9180;25%

9181;20%

9182;23%

9183;20%

9184;20%

9185;19%

9186;18%

9187;21%

9188;23%

9189;23%

9190;21%

9261;21%

9262;21%

9263;21%

9271;20%

9272;21%

9273;18%

9274;18%

9275;22%

9276;22%

9277;21%

9278;19%

9279;19%

9361;23%

9362;17%

9363;23%

9371;21%

9372;21%

9373;19%

9374;21%

9375;19%

9376;20%

9377;22%

9461;19%

9462;22%

9463;23%

9464;24%

9471;19%

9472;22%

9473;23%

9474;20%

9475;26%

9476;24%

9477;24%

9478;22%

9479;26%

9561;21%

9562;18%

9563;18%

9564;20%

9565;22%

9571;20%

9572;20%

9573;23%

9574;22%

9575;21%

9576;21%

9577;22%

9661;21%

9662;24%

9663;20%

9671;21%

9672;24%

9673;22%

9674;20%

9675;20%

9676;21%

9677;22%

9678;21%

9679;21%

9761;20%

9762;23%

9763;22%

9764;22%

9771;20%

9772;20%

9773;20%

9774;19%

9775;20%

9776;23%

9777;21%

9778;21%

9779;20%

9780;23%

10041;23%

10042;22%

10043;24%

10044;24%

10045;25%

10046;24%

11000;19%

12051;27%

12052;25%

12053;25%

12054;20%

12060;23%

12061;24%

12062;27%

12063;22%

12064;23%

12065;22%

12066;28%

12067;26%

12068;25%

12069;22%

12070;27%

12071;27%

12072;22%

12073;27%

13003;24%

13004;25%

13071;25%

13072;23%

13073;25%

13074;23%

13075;25%

13076;23%

14511;28%

14521;29%

14522;28%

14523;29%

14524;29%

14612;22%

14625;27%

14626;29%

14627;27%

14628;27%

14713;21%

14729;26%

14730;25%

15001;31%

15002;24%

15003;24%

15081;24%

15082;27%

15083;23%

15084;27%

15085;27%

15086;25%

15087;29%

15088;25%

15089;27%

15090;25%

15091;28%

16051;22%

16052;28%

16053;21%

16054;31%

16055;23%

16056;26%

16061;23%

16062;26%

16063;25%

16064;25%

16065;27%

16066;26%

16067;25%

16068;24%

16069;24%

16070;25%

16071;23%

16072;27%

16073;28%

16074;25%

16075;26%

16076;29%

16077;30%

