	kreis_id	kreis	size	population	bundesland_id	bundesland	factor
0	1001	Flensburg, Stadt	56.74	88519	1	Schleswig-Holstein	1560
1	1002	Kiel, Stadt	118.65	247943	1	Schleswig-Holstein	2090
2	1003	Lübeck, Stadt	214.21	216318	1	Schleswig-Holstein	1010
3	1004	Neumünster, Stadt	71.63	79335	1	Schleswig-Holstein	1108
4	1051	Dithmarschen	1428.17	133447	1	Schleswig-Holstein	93
5	1053	Herzogtum Lauenburg	1263.06	196074	1	Schleswig-Holstein	155
6	1054	Nordfriesland	2082.97	165462	1	Schleswig-Holstein	79
7	1055	Ostholstein	1392.58	200584	1	Schleswig-Holstein	144
8	1056	Pinneberg	664.28	312662	1	Schleswig-Holstein	471
9	1057	Plön	1083.18	128842	1	Schleswig-Holstein	119
10	1058	Rendsburg-Eckernförde	2189.26	273022	1	Schleswig-Holstein	125
11	1059	Schleswig-Flensburg	2071.13	199503	1	Schleswig-Holstein	96
12	1060	Segeberg	1344.4	274025	1	Schleswig-Holstein	204
13	1061	Steinburg	1055.7	131613	1	Schleswig-Holstein	125
14	1062	Stormarn	766.32	242472	1	Schleswig-Holstein	316
15	2000	Hamburg, Stadt	755.3	1830584	2	Hamburg	2424
16	3101	Braunschweig, Stadt	192.7	248023	3	Niedersachsen	1287
17	3102	Salzgitter, Stadt	224.49	104548	3	Niedersachsen	466
18	3103	Wolfsburg, Stadt	204.61	123914	3	Niedersachsen	606
19	3151	Gifhorn	1567.58	175079	3	Niedersachsen	112
20	3153	Goslar	966.74	137563	3	Niedersachsen	142
21	3154	Helmstedt	676.11	91720	3	Niedersachsen	136
22	3155	Northeim	1268.76	133046	3	Niedersachsen	105
23	3157	Peine	536.5	133368	3	Niedersachsen	249
24	3158	Wolfenbüttel	724.29	120437	3	Niedersachsen	166
25	3159	Göttingen	1755.53	328036	3	Niedersachsen	187
26	3241	Region Hannover	2297.13	1152675	3	Niedersachsen	502
27	3251	Diepholz	1990.97	216012	3	Niedersachsen	108
28	3252	Hameln-Pyrmont	797.53	148296	3	Niedersachsen	186
29	3254	Hildesheim	1208.35	276640	3	Niedersachsen	229
30	3255	Holzminden	694.24	71144	3	Niedersachsen	102
31	3256	Nienburg (Weser)	1400.79	121470	3	Niedersachsen	87
32	3257	Schaumburg	675.69	157883	3	Niedersachsen	234
33	3351	Celle	1550.82	178764	3	Niedersachsen	115
34	3352	Cuxhaven	2058.97	198100	3	Niedersachsen	96
35	3353	Harburg	1248.57	251511	3	Niedersachsen	201
36	3354	Lüchow-Dannenberg	1227.28	48357	3	Niedersachsen	39
37	3355	Lüneburg	1327.68	182930	3	Niedersachsen	138
38	3356	Osterholz	652.67	113105	3	Niedersachsen	173
39	3357	Rotenburg (Wümme)	2074.79	163377	3	Niedersachsen	79
40	3358	Heidekreis	1881.4	139099	3	Niedersachsen	74
41	3359	Stade	1267.4	201887	3	Niedersachsen	159
42	3360	Uelzen	1462.61	92744	3	Niedersachsen	63
43	3361	Verden	789.4	136590	3	Niedersachsen	173
44	3401	Delmenhorst, Stadt	62.45	77521	3	Niedersachsen	1241
45	3402	Emden, Stadt	112.34	50607	3	Niedersachsen	450
46	3403	Oldenburg (Oldenburg), Stadt	103.09	167081	3	Niedersachsen	1621
47	3404	Osnabrück, Stadt	119.8	164374	3	Niedersachsen	1372
48	3405	Wilhelmshaven, Stadt	107.07	76316	3	Niedersachsen	713
49	3451	Ammerland	730.56	123377	3	Niedersachsen	169
50	3452	Aurich	1287.34	189949	3	Niedersachsen	148
51	3453	Cloppenburg	1420.42	167925	3	Niedersachsen	118
52	3454	Emsland	2883.67	323636	3	Niedersachsen	112
53	3455	Friesland	609.54	98509	3	Niedersachsen	162
54	3456	Grafschaft Bentheim	981.81	135859	3	Niedersachsen	138
55	3457	Leer	1085.69	168946	3	Niedersachsen	156
56	3458	Oldenburg	1064.83	129924	3	Niedersachsen	122
57	3459	Osnabrück	2121.81	356140	3	Niedersachsen	168
58	3460	Vechta	814.2	140540	3	Niedersachsen	173
59	3461	Wesermarsch	824.76	89022	3	Niedersachsen	108
60	3462	Wittmund	656.83	56731	3	Niedersachsen	86
61	4011	Bremen, Stadt	326.18	568006	4	Bremen	1741
62	4012	Bremerhaven, Stadt	93.66	113026	4	Bremen	1207
63	5111	Düsseldorf, Stadt	217.41	617280	5	Nordrhein-Westfalen	2839
64	5112	Duisburg, Stadt	232.8	498110	5	Nordrhein-Westfalen	2140
65	5113	Essen, Stadt	210.34	583393	5	Nordrhein-Westfalen	2774
66	5114	Krefeld, Stadt	137.77	226699	5	Nordrhein-Westfalen	1645
67	5116	Mönchengladbach, Stadt	170.47	262188	5	Nordrhein-Westfalen	1538
68	5117	Mülheim an der Ruhr, Stadt	91.28	171265	5	Nordrhein-Westfalen	1876
69	5119	Oberhausen, Stadt	77.09	211422	5	Nordrhein-Westfalen	2743
70	5120	Remscheid, Stadt	74.52	110584	5	Nordrhein-Westfalen	1484
71	5122	Solingen, Stadt	89.54	158803	5	Nordrhein-Westfalen	1774
72	5124	Wuppertal, Stadt	168.39	353590	5	Nordrhein-Westfalen	2100
73	5154	Kleve	1233.0	311270	5	Nordrhein-Westfalen	252
74	5158	Mettmann	407.21	485409	5	Nordrhein-Westfalen	1192
75	5162	Rhein-Kreis Neuss	576.42	449408	5	Nordrhein-Westfalen	780
76	5166	Viersen	563.27	298733	5	Nordrhein-Westfalen	530
77	5170	Wesel	1042.81	460666	5	Nordrhein-Westfalen	442
78	5314	Bonn, Stadt	141.06	325490	5	Nordrhein-Westfalen	2307
79	5315	Köln, Stadt	405.02	1080394	5	Nordrhein-Westfalen	2668
80	5316	Leverkusen, Stadt	78.87	163577	5	Nordrhein-Westfalen	2074
81	5334	Städteregion Aachen	706.84	554068	5	Nordrhein-Westfalen	784
82	5358	Düren	941.78	262889	5	Nordrhein-Westfalen	279
83	5362	Rhein-Erft-Kreis	704.7	467209	5	Nordrhein-Westfalen	663
84	5366	Euskirchen	1248.72	192127	5	Nordrhein-Westfalen	154
85	5370	Heinsberg	627.99	253106	5	Nordrhein-Westfalen	403
86	5374	Oberbergischer Kreis	918.84	272968	5	Nordrhein-Westfalen	297
87	5378	Rheinisch-Bergischer Kreis	437.32	283344	5	Nordrhein-Westfalen	648
88	5382	Rhein-Sieg-Kreis	1153.21	599056	5	Nordrhein-Westfalen	519
89	5512	Bottrop, Stadt	100.61	117364	5	Nordrhein-Westfalen	1167
90	5513	Gelsenkirchen, Stadt	104.94	260305	5	Nordrhein-Westfalen	2481
91	5515	Münster, Stadt	303.28	313559	5	Nordrhein-Westfalen	1034
92	5554	Borken	1420.96	369718	5	Nordrhein-Westfalen	260
93	5558	Coesfeld	1112.03	219360	5	Nordrhein-Westfalen	197
94	5562	Recklinghausen	761.32	616824	5	Nordrhein-Westfalen	810
95	5566	Steinfurt	1795.76	446565	5	Nordrhein-Westfalen	249
96	5570	Warendorf	1319.42	277458	5	Nordrhein-Westfalen	210
97	5711	Bielefeld, Stadt	258.82	332552	5	Nordrhein-Westfalen	1285
98	5754	Gütersloh	969.21	363049	5	Nordrhein-Westfalen	375
99	5758	Herford	450.41	251539	5	Nordrhein-Westfalen	558
100	5762	Höxter	1201.42	141565	5	Nordrhein-Westfalen	118
101	5766	Lippe	1246.19	349069	5	Nordrhein-Westfalen	280
102	5770	Minden-Lübbecke	1152.41	311207	5	Nordrhein-Westfalen	270
103	5774	Paderborn	1246.78	305362	5	Nordrhein-Westfalen	245
104	5911	Bochum, Stadt	145.66	365529	5	Nordrhein-Westfalen	2509
105	5913	Dortmund, Stadt	280.71	586600	5	Nordrhein-Westfalen	2090
106	5914	Hagen, Stadt	160.45	187730	5	Nordrhein-Westfalen	1170
107	5915	Hamm, Stadt	226.43	179185	5	Nordrhein-Westfalen	791
108	5916	Herne, Stadt	51.42	156490	5	Nordrhein-Westfalen	3043
109	5954	Ennepe-Ruhr-Kreis	409.64	324670	5	Nordrhein-Westfalen	793
110	5958	Hochsauerlandkreis	1960.15	261591	5	Nordrhein-Westfalen	133
111	5962	Märkischer Kreis	1061.08	413383	5	Nordrhein-Westfalen	390
