id_county	county	demography_1
01001	Flensburg, kreisfreie Stadt	0.2
01002	Kiel, kreisfreie Stadt	0.18
01003	Lübeck, kreisfreie Stadt	0.23
01004	Neumünster, kreisfreie Stadt	0.23
01051	Dithmarschen, Landkreis	0.25
01053	Herzogtum Lauenburg, Landkreis	0.22
01054	Nordfriesland, Landkreis	0.24
01055	Ostholstein, Landkreis	0.27
01056	Pinneberg, Landkreis	0.22
01057	Plön, Landkreis	0.26
01058	Rendsburg-Eckernförde, Landkreis	0.23
01059	Schleswig-Flensburg, Landkreis	0.24
01060	Segeberg, Landkreis	0.22
01061	Steinburg, Landkreis	0.23
01062	Stormarn, Landkreis	0.23
02000	Hamburg, kreisfreie Stadt	0.18
03101	Braunschweig, kreisfreie Stadt	0.21
03102	Salzgitter, kreisfreie Stadt	0.23
03103	Wolfsburg, kreisfreie Stadt	0.22
03151	Gifhorn, Landkreis	0.2
03153	Goslar, Landkreis	0.27
03154	Helmstedt, Landkreis	0.23
03155	Northeim, Landkreis	0.25
03157	Peine, Landkreis	0.21
03158	Wolfenbüttel, Landkreis	0.23
03159	Göttingen, Landkreis	0.22
03241	Region Hannover, Landkreis	0.21
03251	Diepholz, Landkreis	0.22
03252	Hameln-Pyrmont, Landkreis	0.25
03254	Hildesheim, Landkreis	0.23
03255	Holzminden, Landkreis	0.26
03256	Nienburg (Weser), Landkreis	0.22
03257	Schaumburg, Landkreis	0.24
03351	Celle, Landkreis	0.23
03352	Cuxhaven, Landkreis	0.25
03353	Harburg, Landkreis	0.22
03354	Lüchow-Dannenberg, Landkreis	0.28
03355	Lüneburg, Landkreis	0.2
03356	Osterholz, Landkreis	0.23
03357	Rotenburg (Wümme), Landkreis	0.21
03358	Heidekreis	0.22
03359	Stade, Landkreis	0.21
03360	Uelzen, Landkreis	0.25
03361	Verden, Landkreis	0.22
03401	Delmenhorst, kreisfreie Stadt	0.22
03402	Emden, kreisfreie Stadt	0.21
03403	Oldenburg (Oldenburg), kreisfreie Stadt	0.19
03404	Osnabrück, kreisfreie Stadt	0.19
03405	Wilhelmshaven, kreisfreie Stadt	0.26
03451	Ammerland, Landkreis	0.23
03452	Aurich, Landkreis	0.23
03453	Cloppenburg, Landkreis	0.16
03454	Emsland, Landkreis	0.19
03455	Friesland, Landkreis	0.26
03456	Grafschaft Bentheim, Landkreis	0.2
03457	Leer, Landkreis	0.21
03458	Oldenburg, Landkreis	0.21
03459	Osnabrück, Landkreis	0.2
03460	Vechta, Landkreis	0.16
03461	Wesermarsch, Landkreis	0.23
03462	Wittmund, Landkreis	0.24
04011	Bremen, kreisfreie Stadt	0.21
04012	Bremerhaven, kreisfreie Stadt	0.22
05111	Düsseldorf, kreisfreie Stadt	0.19
05112	Duisburg, kreisfreie Stadt	0.2
05113	Essen, kreisfreie Stadt	0.22
05114	Krefeld, kreisfreie Stadt	0.22
05116	Mönchengladbach, kreisfreie Stadt	0.21
05117	Mülheim an der Ruhr, kreisfreie Stadt	0.24
05119	Oberhausen, kreisfreie Stadt	0.22
05120	Remscheid, kreisfreie Stadt	0.22
05122	Solingen, kreisfreie Stadt	0.21
05124	Wuppertal, kreisfreie Stadt	0.21
05154	Kleve, Landkreis	0.2
05158	Mettmann, Landkreis	0.24
05162	Rhein-Kreis Neuss	0.22
05166	Viersen, Landkreis	0.22
05170	Wesel, Landkreis	0.23
05314	Bonn, kreisfreie Stadt	0.18
05315	Köln, kreisfreie Stadt	0.17
05316	Leverkusen, kreisfreie Stadt	0.22
05334	Städteregion Aachen, Landkreis	0.2
05358	Düren, Landkreis	0.21
05362	Rhein-Erft-Kreis	0.21
05366	Euskirchen, Landkreis	0.21
05370	Heinsberg, Landkreis	0.21
05374	Oberbergischer Kreis	0.21
05378	Rheinisch-Bergischer Kreis	0.23
05382	Rhein-Sieg-Kreis	0.21
05512	Bottrop, kreisfreie Stadt	0.22
05513	Gelsenkirchen, kreisfreie Stadt	0.21
05515	Münster, kreisfreie Stadt	0.17
05554	Borken, Landkreis	0.19
05558	Coesfeld, Landkreis	0.2
05562	Recklinghausen, Landkreis	0.22
05566	Steinfurt, Landkreis	0.2
05570	Warendorf, Landkreis	0.21
05711	Bielefeld, kreisfreie Stadt	0.2
05754	Gütersloh, Landkreis	0.19
05758	Herford, Landkreis	0.22
05762	Höxter, Landkreis	0.22
05766	Lippe, Landkreis	0.22
05770	Minden-Lübbecke, Landkreis	0.22
05774	Paderborn, Landkreis	0.18
05911	Bochum, kreisfreie Stadt	0.22
05913	Dortmund, kreisfreie Stadt	0.2
05914	Hagen, kreisfreie Stadt	0.22
05915	Hamm, kreisfreie Stadt	0.21
05916	Herne, kreisfreie Stadt	0.22
05954	Ennepe-Ruhr-Kreis	0.24
05958	Hochsauerlandkreis	0.22
05962	Märkischer Kreis	0.22
05966	Olpe, Landkreis	0.2
05970	Siegen-Wittgenstein, Landkreis	0.21
05974	Soest, Landkreis	0.21
05978	Unna, Landkreis	0.23
06411	Darmstadt, kreisfreie Stadt	0.17
06412	Frankfurt am Main, kreisfreie Stadt	0.16
06413	Offenbach am Main, kreisfreie Stadt	0.17
06414	Wiesbaden, kreisfreie Stadt	0.2
06431	Bergstraße, Landkreis	0.22
06432	Darmstadt-Dieburg, Landkreis	0.21
06433	Groß-Gerau, Landkreis	0.19
06434	Hochtaunuskreis	0.23
06435	Main-Kinzig-Kreis	0.21
06436	Main-Taunus-Kreis	0.21
06437	Odenwaldkreis	0.23
06438	Offenbach, Landkreis	0.21
06439	Rheingau-Taunus-Kreis	0.23
06440	Wetteraukreis	0.21
06531	Gießen, Landkreis	0.19
06532	Lahn-Dill-Kreis	0.22
06533	Limburg-Weilburg, Landkreis	0.21
06534	Marburg-Biedenkopf, Landkreis	0.19
06535	Vogelsbergkreis	0.24
06611	Kassel, kreisfreie Stadt	0.2
06631	Fulda, Landkreis	0.21
06632	Hersfeld-Rotenburg, Landkreis	0.24
06633	Kassel, Landkreis	0.25
06634	Schwalm-Eder-Kreis	0.23
06635	Waldeck-Frankenberg, Landkreis	0.23
06636	Werra-Meißner-Kreis	0.25
