kreis_id	kreis	size	population	bundesland_id	bundesland
1001000	Flensburg, Stadt	56.74	88519	1	Schleswig-Holstein
1002000	Kiel, Stadt	118.65	247943	1	Schleswig-Holstein
1003000	Lübeck, Stadt	214.21	216318	1	Schleswig-Holstein
1004000	Neumünster, Stadt	71.63	79335	1	Schleswig-Holstein
1051000	Dithmarschen	1428.17	133447	1	Schleswig-Holstein
1053000	Herzogtum Lauenburg	1263.06	196074	1	Schleswig-Holstein
1054000	Nordfriesland	2082.97	165462	1	Schleswig-Holstein
1055000	Ostholstein	1392.58	200584	1	Schleswig-Holstein
1056000	Pinneberg	664.28	312662	1	Schleswig-Holstein
1057000	Plön	1083.18	128842	1	Schleswig-Holstein
1058000	Rendsburg-Eckernförde	2189.26	273022	1	Schleswig-Holstein
1059000	Schleswig-Flensburg	2071.13	199503	1	Schleswig-Holstein
1060000	Segeberg	1344.4	274025	1	Schleswig-Holstein
1061000	Steinburg	1055.7	131613	1	Schleswig-Holstein
1062000	Stormarn	766.32	242472	1	Schleswig-Holstein
2000000	Hamburg, Stadt	755.3	1830584	2	Hamburg
3101000	Braunschweig, Stadt	192.7	248023	3	Niedersachsen
3102000	Salzgitter, Stadt	224.49	104548	3	Niedersachsen
3103000	Wolfsburg, Stadt	204.61	123914	3	Niedersachsen
3151000	Gifhorn	1567.58	175079	3	Niedersachsen
3153000	Goslar	966.74	137563	3	Niedersachsen
3154000	Helmstedt	676.11	91720	3	Niedersachsen
3155000	Northeim	1268.76	133046	3	Niedersachsen
3157000	Peine	536.5	133368	3	Niedersachsen
3158000	Wolfenbüttel	724.29	120437	3	Niedersachsen
3159000	Göttingen	1755.53	328036	3	Niedersachsen
3241000	Region Hannover	2297.13	1152675	3	Niedersachsen
3251000	Diepholz	1990.97	216012	3	Niedersachsen
3252000	Hameln-Pyrmont	797.53	148296	3	Niedersachsen
3254000	Hildesheim	1208.35	276640	3	Niedersachsen
3255000	Holzminden	694.24	71144	3	Niedersachsen
3256000	Nienburg (Weser)	1400.79	121470	3	Niedersachsen
3257000	Schaumburg	675.69	157883	3	Niedersachsen
3351000	Celle	1550.82	178764	3	Niedersachsen
3352000	Cuxhaven	2058.97	198100	3	Niedersachsen
3353000	Harburg	1248.57	251511	3	Niedersachsen
3354000	Lüchow-Dannenberg	1227.28	48357	3	Niedersachsen
3355000	Lüneburg	1327.68	182930	3	Niedersachsen
3356000	Osterholz	652.67	113105	3	Niedersachsen
3357000	Rotenburg (Wümme)	2074.79	163377	3	Niedersachsen
3358000	Heidekreis	1881.4	139099	3	Niedersachsen
3359000	Stade	1267.4	201887	3	Niedersachsen
3360000	Uelzen	1462.61	92744	3	Niedersachsen
3361000	Verden	789.4	136590	3	Niedersachsen
3401000	Delmenhorst, Stadt	62.45	77521	3	Niedersachsen
3402000	Emden, Stadt	112.34	50607	3	Niedersachsen
