author,country,state,city_or_region,country_iso,adm1,adm2,date,border_control,home_office,closure_leisureandbars,shutdown_publictransport,closure_football_stadiums,lockdown,schools_closed,traveller_quarantine,primary_residence,test_limitations,ban_events_over_1000,misc,source,compliance_estimate,compliance_source
Source,Afghanistan,,,AF,,,2020-03-17,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"schools closed, large sport events cancelled, weddigns(events) with more than 1k guests banned",https://www.aljazeera.com/news/2020/03/war-ravaged-afghanistan-battles-threat-coronavirus-200316135224827.html,,
Tarek,Argentina,,,AR,,,2020-03-12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,
Tarek,Argentina,,,AR,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
,Argentina,,,AR,,,2020-03-15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,,
Tarek,Argentina,,Tiera del Fuego,AR,94,,2020-03-16,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,,
Tarek,Argentina,,,AR,,,2020-03-17,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,,
Tarek,Argentina,,,AR,,,2020-03-20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Nationwide Lockdown,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,,
,Austria,Tirol,,AT,07,,2020-03-15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,https://www.tirol.gv.at/meldungen/meldung/artikel/ausgangssperre/,,
Tarek,Belarus,,,PE,,,2020-03-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No restrictions have been taken, instead increase of visa free stay from 30 to 90 days for foreigners",https://belarusfeed.com/belarus-extends-stay-foreigners-coronavirus/,,
Berit,Belgium,,,BE,,,2020-03-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.dhnet.be/actu/belgique/fermeture-des-ecoles-a-cause-du-coronavirus-la-ministre-desir-donne-des-precisions-5e6baf919978e201d8b55769,,
Berit,Belgium,,,BE,,,2020-03-18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.theguardian.com/world/gallery/2020/mar/18/belgium-enters-lockdown-over-coronavirus-crisis-in-pictures,,
AndreF,Belgium,,,BE,,,2020-03-20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,https://www.politico.eu/article/belgium-closes-borders-for-non-essential-travel/,,
Berit,Canada,,,CA,,,2020-03-16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,,
