GENESIS-Tabelle: 23211-0002
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht;;;;
Todesursachenstatistik;;;;
Deutschland;;;;
Gestorbene (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt
2017;Insgesamt;457756;474507;932263
2017;Bestimmte infektiöse und parasitäre Krankheiten;8193;9092;17285
2017;Tuberkulose einschließlich ihrer Folgezustände;171;117;288
2017;Meningokokkeninfektion;13;14;27
2017;Virushepatitis;418;320;738
2017;HIV-Krankheit;243;68;311
2017;Neubildungen;126998;108688;235686
2017;Bösartige Neubildungen (BN);123126;104469;227595
2017;BN der Lippe, der Mundhöhle und des Pharynx;3963;1402;5365
2017;BN des Ösophagus;4266;1233;5499
2017;BN des Magens;5266;3700;8966
2017;BN des Dickdarms;8043;7672;15715
2017;BN des Rektums, des Anus und am Rektosigmoid;4703;3281;7984
2017;BN der Leber, der Gallenwege und des Pankreas;15887;13827;29714
2017;BN der Leber und der intrahepatischen Gallengänge;5213;2697;7910
2017;BN des Pankreas;8947;9058;18005
2017;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;29874;16582;46456
2017;BN der Bronchien und der Lunge;28664;16368;45032
2017;Melanom und sonstige bösartige Neubild. der Haut;2120;1644;3764
2017;Bösartiges Melanom der Haut;1593;1242;2835
2017;BN der Brustdrüse;192;18398;18590
2017;BN der Genital- und Harnorgane;24696;16272;40968
2017;BN der Cervix uteri;-;1587;1587
2017;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2707;2707
2017;BN des Ovars;-;5373;5373
2017;BN der Prostata;14318;-;14318
2017;BN der Niere, ausgenommen Nierenbecken;3155;1985;5140
2017;BN der Harnblase;3848;1858;5706
2017;BN d. lymphat., blutbild. u. verwandten Gewebes;10761;8776;19537
2017;Leukämie;4521;3653;8174
2017;Gutartige Neubildungen;304;464;768
2017;Krankheiten des Blutes u. der blutbildenden Organe;1631;2053;3684
2017;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;15120;18788;33908
2017;Diabetes mellitus;11412;13443;24855
2017;Psychische und Verhaltensstörungen;19992;32645;52637
2017;Psychische und Verhaltensstörungen durch Alkohol;4031;1081;5112
2017;Psych. u. Verhaltensstörungen d.a. psychot. Subst.;534;137;671
2017;Krankheiten d. Nervensystems u. d. Sinnesorgane;16351;16042;32393
2017;Meningitis;60;66;126
2017;Krankheiten des Kreislaufsystems;156177;188347;344524
2017;Hypertonie (Hochdruckkrankheit);13700;29878;43578
2017;Ischämische Herzkrankheiten;68794;56820;125614
2017;Akuter oder rezidivierender Myokardinfarkt;27130;19836;46966
2017;Sonstige Formen der Herzkrankheit;32002;46556;78558
2017;Sonstige Krankheiten des Endokards;5784;8122;13906
2017;Zerebrovaskuläre Krankheiten;23780;31624;55404
2017;Schlaganfall, nicht als Blutung oder Infarkt bez.;4898;7689;12587
2017;Krankheiten der Arterien, Arteriolen und Kapillare;6225;6515;12740
2017;Krankheiten des Atmungssystems;36210;32198;68408
2017;Grippe;617;559;1176
2017;Pneumonie;9716;9862;19578
2017;Chronische Krankheiten der unteren Atemwege;19104;16409;35513
2017;Asthma;324;647;971
2017;Krankheiten des Verdauungssystems;21747;19291;41038
2017;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1150;1178;2328
2017;Krankheiten der Leber;10381;5491;15872
2017;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;9599;4723;14322
2017;Krankheiten der Haut und der Unterhaut;599;966;1565
2017;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;1753;3059;4812
2017;Chronische Polyarthritis und Arthrose;403;820;1223
2017;Krankheiten des Urogenitalsystems;10532;12939;23471
2017;Krankheiten der Niere;7842;9774;17616
2017;Schwangerschaft, Geburt und Wochenbett;-;22;22
2017;Best.Zustände mit Ursprung in der Perinatalperiode;838;645;1483
2017;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;1076;994;2070
2017;Angeborene Fehlbildungen des Nervensystems;87;93;180
2017;Angeborene Fehlbildungen des Kreislaufsystems;327;283;610
2017;Symptome und abnorme klinische und Laborbefunde;17006;12423;29429
2017;Plötzlicher Kindstod;73;57;130
2017;Sonst. ungenau bezeichnete u. unbek. Todesursachen;15534;9634;25168
2017;Äußere Ursachen von Morbidität und Mortalität;23538;16315;39853
2017;Unfälle einschließlich Spätfolgen;15221;13203;28424
2017;Transportmittelunfälle;2514;893;3407
2017;Stürze;6979;7699;14678
2017;Ertrinken und Untergehen;277;105;382
2017;Exposition gegenüber Rauch, Feuer und Flammen;212;123;335
2017;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);815;281;1096
2017;Vorsätzliche Selbstbeschädigung;6985;2250;9235
2017;Tätlicher Angriff;182;170;352
2017;Ereignis, dessen nähere Umstände unbestimmt sind;1123;677;1800
__________
"Todesursachen:
Die ausgewählten Todesursachen ermöglichen einen zeitlichen
Vergleich nach der Umstellung der ICD-Systematik (1980-1997
ICD9, ab 1998 ICD-10).
""Insgesamt"" enthält die Angaben zu allen Gestorbenen eines
Berichtsjahres."
© Statistisches Bundesamt (Destatis), 2020
Stand: 21.03.2020 / 17:05:41
