date	id_county	county	id_state	state	size	population	density	demography_1	no_cases	cases_m	cases_w	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A80+	no_infected	no_deceased
2020-03-14	1001	SK Flensburg	1.0	Schleswig-Holstein	56.74	88519.0	1560.081071554459	0.2	4	2	0	0	0	2	2	0	0	4	0
2020-03-18	1001	SK Flensburg	1.0	Schleswig-Holstein	56.74	88519.0	1560.081071554459	0.2	2	0	0	0	0	2	0	0	0	2	0
2020-03-19	1001	SK Flensburg	1.0	Schleswig-Holstein	56.74	88519.0	1560.081071554459	0.2	4	2	0	0	0	2	2	0	0	4	0
2020-03-20	1001	SK Flensburg	1.0	Schleswig-Holstein	56.74	88519.0	1560.081071554459	0.2	2	1	0	0	0	0	2	0	0	2	0
2020-03-10	1002	SK Kiel	1.0	Schleswig-Holstein	118.65	247943.0	2089.700800674252	0.18	3	1	0	0	0	2	1	0	0	3	0
2020-03-11	1002	SK Kiel	1.0	Schleswig-Holstein	118.65	247943.0	2089.700800674252	0.18	4	3	0	0	0	2	2	0	0	4	0
2020-03-12	1002	SK Kiel	1.0	Schleswig-Holstein	118.65	247943.0	2089.700800674252	0.18	4	1	0	0	0	1	3	0	0	4	0
2020-03-13	1002	SK Kiel	1.0	Schleswig-Holstein	118.65	247943.0	2089.700800674252	0.18	1	1	0	0	0	1	0	0	0	1	0
2020-03-14	1002	SK Kiel	1.0	Schleswig-Holstein	118.65	247943.0	2089.700800674252	0.18	1	1	0	0	0	1	0	0	0	1	0
2020-03-16	1002	SK Kiel	1.0	Schleswig-Holstein	118.65	247943.0	2089.700800674252	0.18	5	1	0	0	0	4	1	0	0	5	0
2020-03-17	1002	SK Kiel	1.0	Schleswig-Holstein	118.65	247943.0	2089.700800674252	0.18	2	0	0	0	0	1	1	0	0	2	0
2020-03-18	1002	SK Kiel	1.0	Schleswig-Holstein	118.65	247943.0	2089.700800674252	0.18	5	1	0	0	0	3	1	1	0	5	0
2020-03-19	1002	SK Kiel	1.0	Schleswig-Holstein	118.65	247943.0	2089.700800674252	0.18	9	4	0	0	0	3	5	1	0	9	0
2020-03-20	1002	SK Kiel	1.0	Schleswig-Holstein	118.65	247943.0	2089.700800674252	0.18	2	2	0	0	0	1	0	1	0	2	0
2020-02-29	1003	SK Lübeck	1.0	Schleswig-Holstein	214.21	216318.0	1009.8408104196816	0.23	1	1	0	0	0	0	1	0	0	1	0
2020-03-08	1003	SK Lübeck	1.0	Schleswig-Holstein	214.21	216318.0	1009.8408104196816	0.23	1	0	0	0	0	1	0	0	0	1	0
2020-03-11	1003	SK Lübeck	1.0	Schleswig-Holstein	214.21	216318.0	1009.8408104196816	0.23	5	3	0	0	0	1	3	1	0	5	0
2020-03-12	1003	SK Lübeck	1.0	Schleswig-Holstein	214.21	216318.0	1009.8408104196816	0.23	1	0	0	0	0	0	1	0	0	1	0
2020-03-13	1003	SK Lübeck	1.0	Schleswig-Holstein	214.21	216318.0	1009.8408104196816	0.23	1	0	0	0	0	0	1	0	0	1	0
2020-03-15	1003	SK Lübeck	1.0	Schleswig-Holstein	214.21	216318.0	1009.8408104196816	0.23	1	1	0	0	0	0	1	0	0	1	0
2020-03-17	1003	SK Lübeck	1.0	Schleswig-Holstein	214.21	216318.0	1009.8408104196816	0.23	2	1	0	0	0	1	1	0	0	2	0
2020-03-18	1003	SK Lübeck	1.0	Schleswig-Holstein	214.21	216318.0	1009.8408104196816	0.23	6	4	0	0	0	2	2	2	0	5	1
2020-03-19	1003	SK Lübeck	1.0	Schleswig-Holstein	214.21	216318.0	1009.8408104196816	0.23	3	2	0	0	0	2	1	0	0	3	0
2020-03-20	1003	SK Lübeck	1.0	Schleswig-Holstein	214.21	216318.0	1009.8408104196816	0.23	1	1	0	0	0	1	0	0	0	1	0
2020-03-16	1004	SK Neumünster	1.0	Schleswig-Holstein	71.63	79335.0	1107.566662013123	0.23	1	0	0	0	0	0	1	0	0	1	0
2020-03-05	1051	LK Dithmarschen	1.0	Schleswig-Holstein	1428.1699999999994	133447.0	93.43915640294924	0.25	1	0	0	0	0	1	0	0	0	1	0
2020-03-15	1051	LK Dithmarschen	1.0	Schleswig-Holstein	1428.1699999999994	133447.0	93.43915640294924	0.25	5	2	0	0	0	0	3	2	0	5	0
2020-03-18	1051	LK Dithmarschen	1.0	Schleswig-Holstein	1428.1699999999994	133447.0	93.43915640294924	0.25	4	2	0	0	0	1	1	2	0	4	0
2020-03-19	1051	LK Dithmarschen	1.0	Schleswig-Holstein	1428.1699999999994	133447.0	93.43915640294924	0.25	1	1	0	0	0	0	0	1	0	1	0
2020-03-20	1051	LK Dithmarschen	1.0	Schleswig-Holstein	1428.1699999999994	133447.0	93.43915640294924	0.25	1	0	0	0	0	0	0	1	0	1	0
2020-03-02	1053	LK Herzogtum Lauenburg	1.0	Schleswig-Holstein	1263.0600000000004	196074.0	155.23728088926885	0.22	1	0	0	0	0	1	0	0	0	1	0
2020-03-10	1053	LK Herzogtum Lauenburg	1.0	Schleswig-Holstein	1263.0600000000004	196074.0	155.23728088926885	0.22	2	1	0	0	0	1	1	0	0	2	0
2020-03-11	1053	LK Herzogtum Lauenburg	1.0	Schleswig-Holstein	1263.0600000000004	196074.0	155.23728088926885	0.22	2	1	0	0	0	2	0	0	0	2	0
2020-03-13	1053	LK Herzogtum Lauenburg	1.0	Schleswig-Holstein	1263.0600000000004	196074.0	155.23728088926885	0.22	4	1	0	0	0	0	3	1	0	4	0
2020-03-16	1053	LK Herzogtum Lauenburg	1.0	Schleswig-Holstein	1263.0600000000004	196074.0	155.23728088926885	0.22	2	1	0	0	0	1	0	1	0	2	0
2020-03-17	1053	LK Herzogtum Lauenburg	1.0	Schleswig-Holstein	1263.0600000000004	196074.0	155.23728088926885	0.22	4	2	0	0	0	0	1	1	0	4	0
2020-03-18	1053	LK Herzogtum Lauenburg	1.0	Schleswig-Holstein	1263.0600000000004	196074.0	155.23728088926885	0.22	3	3	0	0	0	1	2	0	0	3	0
2020-03-19	1053	LK Herzogtum Lauenburg	1.0	Schleswig-Holstein	1263.0600000000004	196074.0	155.23728088926885	0.22	3	2	0	0	0	1	2	0	0	3	0
2020-03-12	1054	LK Nordfriesland	1.0	Schleswig-Holstein	2082.9700000000007	165462.0	79.43561357100677	0.24	1	1	0	0	0	0	1	0	0	1	0
2020-03-17	1054	LK Nordfriesland	1.0	Schleswig-Holstein	2082.9700000000007	165462.0	79.43561357100677	0.24	8	5	0	0	0	3	5	0	0	8	0
2020-03-18	1054	LK Nordfriesland	1.0	Schleswig-Holstein	2082.9700000000007	165462.0	79.43561357100677	0.24	1	1	0	0	0	1	0	0	0	1	0
2020-03-19	1054	LK Nordfriesland	1.0	Schleswig-Holstein	2082.9700000000007	165462.0	79.43561357100677	0.24	2	1	0	0	0	0	1	0	0	2	0
2020-03-20	1054	LK Nordfriesland	1.0	Schleswig-Holstein	2082.9700000000007	165462.0	79.43561357100677	0.24	3	1	0	1	0	0	1	1	0	3	0
2020-03-10	1055	LK Ostholstein	1.0	Schleswig-Holstein	1392.58	200584.0	144.03768544715564	0.27	1	1	0	0	0	0	1	0	0	1	0
2020-03-15	1055	LK Ostholstein	1.0	Schleswig-Holstein	1392.58	200584.0	144.03768544715564	0.27	2	2	0	0	0	0	2	0	0	2	0
2020-03-16	1055	LK Ostholstein	1.0	Schleswig-Holstein	1392.58	200584.0	144.03768544715564	0.27	1	1	0	0	0	0	1	0	0	1	0
2020-03-18	1055	LK Ostholstein	1.0	Schleswig-Holstein	1392.58	200584.0	144.03768544715564	0.27	2	1	0	0	0	0	2	0	0	2	0
2020-03-19	1055	LK Ostholstein	1.0	Schleswig-Holstein	1392.58	200584.0	144.03768544715564	0.27	5	3	0	1	0	0	3	1	0	5	0
2020-03-03	1056	LK Pinneberg	1.0	Schleswig-Holstein	664.28	312662.0	470.6780273378697	0.22	1	1	0	0	0	0	1	0	0	1	0
2020-03-06	1056	LK Pinneberg	1.0	Schleswig-Holstein	664.28	312662.0	470.6780273378697	0.22	1	0	0	0	0	0	0	1	0	1	0
