Bundesland	Geschlecht	2014	2015	2016	2017	2018
Baden-Württemberg	M	48780	51691	52662	53677	54471
Baden-Württemberg	W	51883	56375	53968	55443	56663
Baden-Württemberg	Insgesamt	100663	108066	106630	109120	111134
Bayern	M	59840	64228	63573	65158	66228
Bayern	W	64289	69308	65979	68744	68581
Bayern	Insgesamt	124129	133536	129552	133902	134809
Berlin	M	15890	16917	16908	16891	17785
Berlin	W	16424	17361	17142	17446	18115
Berlin	Insgesamt	32314	34278	34050	34337	35900
Brandenburg	M	14464	15516	15550	16005	16502
Brandenburg	W	14526	15234	15240	15773	16182
Brandenburg	Insgesamt	28990	30750	30790	31778	32684
Bremen	M	3589	3839	3735	3911	3992
Bremen	W	3848	3972	3997	3993	4076
Bremen	Insgesamt	7437	7811	7732	7904	8068
Hamburg	M	7988	8321	8309	8697	8859
Hamburg	W	8792	9244	8958	8943	9309
Hamburg	Insgesamt	16780	17565	17267	17640	18168
Hessen	M	29779	32407	31379	32633	33093
Hessen	W	31404	34127	32702	33704	34074
Hessen	Insgesamt	61183	66534	64081	66337	67167
Mecklenburg-Vorpommern	M	9658	10418	10418	10684	11273
Mecklenburg-Vorpommern	W	9260	9897	10027	10052	10675
Mecklenburg-Vorpommern	Insgesamt	18918	20315	20445	20736	21948
Niedersachsen	M	42886	45146	45459	45958	47475
Niedersachsen	W	44685	47314	46909	47755	48690
Niedersachsen	Insgesamt	87571	92460	92368	93713	96165
Nordrhein-Westfalen	M	93169	98881	98738	99882	102697
Nordrhein-Westfalen	W	99744	105471	103512	104954	108443
Nordrhein-Westfalen	Insgesamt	192913	204352	202250	204836	211140
Rheinland-Pfalz	M	21501	22572	22535	23200	23917
Rheinland-Pfalz	W	22806	24205	23328	24185	24382
Rheinland-Pfalz	Insgesamt	44307	46777	45863	47385	48299
Saarland	M	6058	6505	6242	6489	6759
Saarland	W	6471	6922	6655	6786	7113
Saarland	Insgesamt	12529	13427	12897	13275	13872
Sachsen	M	24791	26283	26177	26867	27587
Sachsen	W	26368	28184	27153	27822	28703
Sachsen	Insgesamt	51159	54467	53330	54689	56290
Sachsen-Anhalt	M	15137	16024	15701	16469	16727
Sachsen-Anhalt	W	15693	16345	15752	16326	16758
Sachsen-Anhalt	Insgesamt	30830	32369	31453	32795	33485
Schleswig-Holstein	M	15414	16587	16814	16898	17843
Schleswig-Holstein	W	16262	17076	17065	17557	18078
Schleswig-Holstein	Insgesamt	31676	33663	33879	34455	35921
Thüringen	M	13281	14177	14104	14337	14824
Thüringen	W	13676	14653	14208	15024	15000
Thüringen	Insgesamt	26957	28830	28312	29361	29824
